id,username,location,text,sentiment
43,Bhaj Govindam 🇮🇳,,RT officialmcafee whotookmaname Do NOT under any circumstances take the vaccine,0.0
44,Scotia@🇨🇦 Communism won’t cure the flu.,Nova Scotia,RT LitigationGuy BREAKING Province of Ontario acknowledges COVID vaccine failure Schools closed province plunged back into lockdown T,-0.5106
45,صدقه لزيدعايض,,ComplexDigi tripleclick DowdEdward If VAERS is only 10 accurate at 17k deaths then 170000 vaccine deaths is highly probable,0.0
46,Moni Norris,,RT KevinKileyCA Los Angeles now has by far the most cases per capita in California The highly scientific regimen of vaccine passports an,0.0
47,Piscataway Schools,"Piscataway, NJ",Still need a vaccine or booster shot Its available January 6  right here in Piscataway httpstcoiUz4RiqYFZ,0.0
48,⚽️ⓢⓒⓞⓣⓣⓨ⚽️,"Scotland, United Kingdom",RT MichaelPSenger Every COVID restriction and mandatefrom lockdowns and masks to tests and vaccine passesis entirely ineffective in con,-0.4391
49,Bjl,,RT KevinKileyCA Los Angeles now has by far the most cases per capita in California The highly scientific regimen of vaccine passports an,0.0
0,Shaun Wolchinsky,usa,RT KevinKileyCA Los Angeles now has by far the most cases per capita in California The highly scientific regimen of vaccine passports an,0.0
1,Mags/LovelyM,"North West, England",SheQueenWilson PippaCrerar DailyMirror We never get true data are they off isolating due to contact and unvaxed httpstcoyi9g1ugBt4,-0.3252
2,Marshall Kesterson,,RT luckytran Reasons for new variants1 Letting COVID transmission rip2 Vaccine inequityRich countries are refusing to take action,0.2263
3,Jonathan Medena 🇭🇹,"Cobb County, GA",RT undisputed ShannonSharpe on Antonio Brown storming off the field midgameIt was just a matter of time The fake vaccine you saw,-0.4588
4,Venice Q,"Philadelphia, PA",RT RAWdva I would like to let Chicago and Cook County elected officials know that a negative Covid19 test result is a better indication,0.1779
5,Dean Smith,UK,RT BernieSpofforth SCOTLAND  where restrictions could be in place for months the police are violently arresting people in restaurants a,-0.5859
6,Mimi,,TerryShadow1 scottycknight Teddifish RachelDillin The risk of death and long term effects for Covid are greate httpstco1NQU9NPz17,-0.7184
7,Islandlove 🏖🌎,"California, USA",RT DrEricDing NEWFDA authorizes Pfizer COVID19 vaccine boosters for 12 to 15yearolds as schools reopen amid omicron surgePlus F,0.0
8,Peaches,,RT rrban014 Tau ji was taken to hospital because of food poisoning Doctors did a RTPCR test turns out hes also COVID positive Double,-0.0516
9,Rastra Bhakth🇮🇳,India,RT VarunKrRana Over 40 lakh teenagers between the ages of 1518 received their first dose of vaccine today including actress Rekha,0.0
10,Eilonwy24,Oregon,RT lauriemcginley2 THIS JUST IN FDA authorizes coronavirus vaccine boosters for 12 to 15yearolds as schools reopen amid omicron surge,0.0
11,Steve Donne,,RT EssexPR Vaccine Passports are set to expire on January 26th there has to be a vote in Parliament to extendOmicron has completely a,0.1779
12,mistakesweremade,"San Diego, CA",RT Numbers28 Why is it that Greg Abbott who has long been opposed to COVID19 vaccine mandates as well as other preventive measures amp ha,0.2732
13,ELSIE&Co,"Nice, France",RT YvesPDB Dr Bhakdi  Covid19 Vaccines are killing people by causing an autoimmune attack of killer Lymphocytes  The Expose https,-0.9246
14,aerosol goodman,Berlin,RT leedevito Ed Yong a journalist for TheAtlantic who won a Pulitzer Prize for his reporting on COVID19 I think the mistake that we,0.6808
15,free em all,he/him,RT ZekeCohen The condescension  hyperbole in this tweet is why so many parents  educators are losing respect for public health pros at,0.128
16,🔴Conor🔴,,RT rickpittman I cant believe the number of people who openly admit that they didnt get the shot for health purposes Rather they got,0.1476
17,Scott Myers,"Gig Harbor, WA",RT RandPaul Were being asked to approve this as a 3 dose vaccine for people gt16 yrs old without any clear evidence  member Dr Paul O,-0.2924
18,John Lyddon,"Bergerac, France",RT SiddiquiMaha Finally some are doing what everyone should have done themselves because we were faced w a pandemic Making Covid19 v,0.0
19,William Buckingham,"Sugar Land, TX",RT GadflyQuebec  PeterHotez  Vaccine Corbevax Authorized in IndiaCorbevax is designed to be produced locally in emerging nati,0.0
20,โนแคร์โนสน,,RT Reuters The FDA authorized the use of a third dose of the Pfizer and BioNTech COVID19 vaccine for children aged 12 to 15 years https,0.0
21,Scott Neill 🙂,,RT BernieSpofforth SCOTLAND  where restrictions could be in place for months the police are violently arresting people in restaurants a,-0.5859
22,Françoise Zannier,Paris,RT RandPaul Were being asked to approve this as a 3 dose vaccine for people gt16 yrs old without any clear evidence  member Dr Paul O,-0.2924
23,Nightsun,,RT JeanFisch Booster campaign in  I dont  like the comparatively low uptake among the 65 in BRUWAL Based on current estimates f,-0.4956
24,Hector de Trois,,RT JamesMelville If someone even dared to suggest this a few months ago they would have been accused of being a conspiracy theorist B,-0.6808
25,Liz Malone,"Colorado, USA",RT NoLieWithBTC 13 of these 15 border patrol agents who died in the line of duty died from COVID The other 2 died in vehicle accidents,-0.8957
26,MJ,NJ,RT GovMurphy VACCINE UPDATE6273256 completed primary vaccination courses2275331 boosters administeredLearn more httpst,0.0
27,Relenam63,Where ever,RT NoLieWithBTC 13 of these 15 border patrol agents who died in the line of duty died from COVID The other 2 died in vehicle accidents,-0.8957
28,Timo,,RT DeItaone US CDC TO HOLD AN ADVISORY MEETING ON JAN 5 TO DISCUSS PFIZER COVID19 VACCINE BOOSTER FOR 1215 YEAR OLDSPFE,0.0
29,Bob Maher,Ireland,BenGilroy11 Sickening Ben its a fucking trial still so it cant be called a vaccine just yet total madness the httpstco2xzSEU8okM,-0.7645
30,K Ram,,augustweet globaltimesnews Let me help you with facts According to VAERS 6207 died after getting the vaccine  httpstcoCG1cQSZZJL,-0.2263
31,1 786-877-5309,,RT judytgolf    Testing vaccine  RestartMIGAs MadMAGAMikey 13Heroes BearsProtect Doot2471 tuckersright JuJuSkier Manica,0.0
32,Lola,,RT DavidAsmanfox This is insane Vaccine mandates caused dangerous staff shortages at hospitals So now those hospitals are allowing Covi,-0.7506
33,Kassidi brown,Far far away,RT drandrewb if policymakers dont do everything over the next two weeks to make schools saferincrease vaccine uptake and support parent,0.4019
34,RPaar,"Carol Stream, IL",amnesty Fauci says the US has enough mRNA vaccines but the traditional dead virus vaccine Covaxin which can be st httpstcoaavRVwJvoO,-0.7876
35,Rodney Bough,,RT RandPaul Were being asked to approve this as a 3 dose vaccine for people gt16 yrs old without any clear evidence  member Dr Paul O,-0.2924
36,Teri 🥶❄️,Bluegrass State ,RT DavidAsmanfox This is insane Vaccine mandates caused dangerous staff shortages at hospitals So now those hospitals are allowing Covi,-0.7506
37,Meghna Varma Puthawala,,narendramodi Dear PM My son is 15 years old The cowin app has allowed wrong slot booking and Surya hospital in M httpstcoLu8OkjmUp4,-0.128
38,Hermit. 💆🏽‍♀️,"Rhode Island, USA",RT TheEliKlein NYC just reported 50k Covid cases in one day Those are just recorded cases in one City in one day Weve had vaccine pa,0.0
39,Nick,,RT ZekeCohen The condescension  hyperbole in this tweet is why so many parents  educators are losing respect for public health pros at,0.128
40,PeaceNow 🌺,Cyber Space,TheNarrator000 mtracey Which of these is vaccine misinformation Vaccine mandates Vaccine passports Vaccina httpstcobTij1TfNTU,-0.3182
41,VoteBlueForDemocracy, Somewhere,allqd symesd KoaTheGreat SethDillon Vaccinated are much less likely to be infected A factUnvaccinated 14 httpstcoBr5x8TeO10,-0.4939
42,Talking Bull,"New York, USA",RT atheistic1 If Jesus is your vaccine he can be your ventilator too,0.0
43,2020(2) is coming for you,"Newbridge, Ireland",Pfizer outed as Irelands leading manufacturer of Hopium  I see I cant believe someone posting so much positiv httpstcoL9gn6qYsqu,0.0
44,mcc,Drogheda,LeoVaradkar irish citizens refused entry to France and disney paris due to no qr code proof for booster on vaccine httpstcoTJYLjFXGta,-0.5267
45,हिन्दू नेशनलिस्ट 🇮🇳 🚩,भारत,RT mvmeet Over 80 crore Indians got free ration during coronavirus pandemicOver 80 crore Indians have already received free vaccine dos,0.765
46,Tweet 2 Wales,Wales,RT GillianMcKeith We were called every name under the sun for reporting this months ago  Oh look Its a reality  Implanted Covid va,0.0
47,dappy,,RT CJB3331 A 23yearold woman in the northern Lao Cai Provincedied last Thursday after receiving her second Pfizer Covid19 vac,-0.5574
48,TMART,,RT ianmSC Cases in Los Angeles have reached a new high with nearly 21 months of mask mandates universal compliance and some of the world,0.1027
49,Götz von Berlichingen #FBPE,"London, Irish Archipelago",HigbeePaul WulfHelm Indeed the immunity effects of the vaccine take up to two weeks to take full effect But mo httpstcouhkIpMwt4r,0.0
0,David Hardstaff,"Hertfordshire, UK",DavidHenigUK Seems mostly based on the misconception that we were able to approve the vaccine for use faster owin httpstco6r8kAFwJe6,0.0
1,Kamran Azam,,RT bykelseyy Kyrie taking the vaccine just before game 7 of the finals httpstcoya302IjQfh,0.0
2,aztecmonkey007,,RT myfox8 What is Covaxin the COVID vaccine not approved in the US httpstco0slngKI2lX httpstco0q2WBqdJDF,-0.3252
3,#BlijfContantBetalen - PureBlood - mRNA vrij,"California, USA",WATCH VaccineInjured Pilot Says Vaccinated Pilots Are a Flight Risk Some Go to Work With Crushing Chest amp Head P httpstcooBIa7N8xWh,-0.5574
4,Lehlogonolo Dawn Mgidi,South Africa,RT cwtyp WhAtS iN tHe VaCcInE,0.0
5,Zachary Errabey,"East Boston, Boston",RT RepThomasMassie Everyone knows the vaccine is not 100 safe and it is not 100 effectiveAfter we admit those facts we can have a r,-0.4871
6,Barbz2012,"Houghton-le-Spring, England",DExpressSport what a joke they should have said no vaccine then no entry simple,-0.296
7,Wolfspirit29🇺🇸 USA Biden is NOT my Pres #NoMasks,Georgia,RT JillRTeamXRP Aaron Rodgers on vaccine If science cant be questioned its propaganda Amen  httpstcoNhwVPioFQl via Radiodotc,-0.1759
8,Sol Times,Spain,RT euroweeklynews Woman arrested after allegedly injecting teen with Covid vaccine httpstcoNxi5u0bgXe TopNews USA,-0.4767
9,Steven Euesden,Spain,RT euroweeklynews Woman arrested after allegedly injecting teen with Covid vaccine httpstcoNxi5u0bgXe TopNews USA,-0.4767
10,Oh God Uk What Are You Doing,"ÜT: 39.56334,2.628762",RT bmay A situation in which everyone in the developed world is on their 4th vaccine dose whilst much of the developing world is on their,0.0
11,Andy Brown,"Livingston, Scotland",yaloikthat Omicronald Where am I using false claims I have never denied that there is a virus I have taken the httpstcoDBqGNQIqnI,0.3412
12,Ali Yilmaz Gürgöz, Northern Germany,Why your supreme leader bans the usage of vaccine which is devolobed by a Muslim couple in Germany  httpstcogh8zr8dlYj,0.5574
13,Greg,Australia,RT TitusOReily If you dont have a vaccine certificate just show this httpstcoLZqpm8yXGK,0.0
14,Lankey_Limey,,RT Takatut Now that the postvaccine myocarditis in teens and young men are no longer rare we are told they are mild A doctor fri,-0.296
15,Dhanesh Shirke,,RT adarpoonawalla Happy new year everyone All the risks SerumInstIndia took with stockpiling the vaccine have finally paid off COVIS,0.4389
16,Nicholas Nicola,SYDNEY               Born 1959,RT astroehlein Rich governments now moving to administer 4th vaccine dose while BILLIONS around the world still havent had their 1st do,0.5574
17,Terrywhittingham,Black Country,RT BeALionAndRoar The vaccine is the virus,0.0
18,NCFactFinder,Under Carolina blue skies ,RT votevets The vaccine doesnt stop transmission it gives your body the best battle plan to survive,0.1027
19,bc0024vicaus,"Victoria, Australia",RT westaustralian In an embarrassing blunder for WA Police a member of staff has used an official Twitter account to question the Police,-0.3818
20,Alex W.R Grant,Scotland,Absolute joke but so damn predictable Novak pretty much rubbing it in everyones faces too by emphasising the exe httpstcopgXiswpoYP,0.2289
21,Raja Rajendra Timilsina,Kochi University of Technology,RT UniofOxford A year ago today the UK became the first country to administer the OxfordAstraZeneca vaccineSince then over 2bn dos,0.0
22,Silent Syringa 🔞,,RT MLPKozmos You have every right to not get the vaccine yesIn turn consevents have every right to bar you from entering,0.4019
23,Brexit Maverick,"Yorkshire, UK",RT HerdImmunity12 IDS of Conservatives interviewed today on talkRADIO espousing of the vaccine success Really it may have escaped him,0.5719
24,Micheal OLainn,"Dublin City, Ireland",RT klillington Awkward Though TBF quite some cherrypicking by the NYT given many in the medical and political establishment in the US w,-0.1531
25,Hebbes,"Ashford, Kent",VanessaOnAir why are you pushing the vaccine on this morning to unlimited in a year totally over the top reaction,0.2648
26,TerryVox,,LulzWeTrustAE Its true he couldve handled it better but two things  one hes had to deal with the fallout of httpstco4YT0Ytr69x,0.431
27,‎ً,"Malibu, CA",RT trestice PeteBlackburn We dont know what harmful ingredients are in the vaccine Yeah Ill have the large macncheetos httpst,0.3595
28,ThomasMesse,,RT BuckSexton The vaccine passport system in NYC is 4 months old and it abjectly failed to stop or even lessen the spreadSo of cours,-0.6705
29,David L.,,RT DavidHenigUK Not sure vaccine rollout is quite the model for future UK success that the Brexit evangelists think,0.4094
30,Shimmy Shimmy CocoPop,,RT MrBangaRanga What an absolute shitshow Positivity rate over 33 indicates actual case number 3x to 4x higher people unable to get,0.5574
31,Raymond Goossen,,RT joewarmington When will vaccine deliver results So far doubletriple vaccinated and vax free are contracting Covid19 at a record,0.5106
32,Patrick Murrell,"Melbourne, Victoria",RT TitusOReily If you dont have a vaccine certificate just show this httpstcoLZqpm8yXGK,0.0
33,Jyothi Sai,,RT MinhazMerchant On Monday Jan 3 India again administered nearly 1 crore vaccine doses  413 lakh of these were children between 1518,0.0
34,basco 🌶,goth ihop,RT bigikefan7000 IM CURRENTLY ON MY 11TH VACCINATION I NEED TO BE STRONGER FOR IKE HE WOULD HAVE GOT THE VACCINE I KNOW IT BUT I CAN,0.2884
35,Alan Palmer 🏳️‍🌈,London. The greatest city,TennisPodcast What medical condition is so severe he cant have a safe vaccine but so mild he can win 20 grand slams without any issues,0.8081
36,Matt,,RT UniofOxford A year ago today the UK became the first country to administer the OxfordAstraZeneca vaccineSince then over 2bn dos,0.0
37,*The_Happiest*,"Mumbai, India",RT AlkaDhupkar I saw many boards of free vaccination drive put in rural India and at the petrol pumps Obviously credit is given to on,0.7096
38,LadyPenelope,,Kayyvon65 DMification BeckkieParnell Wow This would explain why many are getting strokes after it I believe he httpstco7w4YhUDqqP,0.658
39,David L.,,RT DavidHenigUK It seems to me that there was a brief 3month period in which our vaccine rollout was superior to that of the EU and fo,0.5423
40,Tracey Holmes,Sydney and the world,RT IndySport BREAKING Novak Djokovic to play Australian Open after being handed exemption over Covid vaccinehttpstcoHtcXsjXb9Y,0.34
41,Raymond Benton 💙,"Folkestone, England",RT HaggisUK Jayne Secker  How many NHS trusts are in critical measures at the momentMaggie ThroupVaccine Minister  Ive no idea,-0.1027
42,Alice bobra,,RT ABC Starbucks says it is requiring its 228000 US employees to disclose their vaccination status by Jan 10 httpstcomOHPaxsY5e,0.0
43,Rob de Kok,Op de grens. Ook letterlijk. ,Wetenschap waarschuwt voor boosters Mechanisms of SARSCoV2 Evolution Revealing VaccineResistant Mutations in E httpstcoNmAvqz9rQO,0.0
44,Blahdiblah,,RT DataDrivenMD  If its been more than 5 months since your 1217 year old received their last dose of the COVID19 vaccine get them b,0.0
45,TK 🐈,,fesshole When I was having my vaccine a woman came in with the white side outwards and one of the nurses had a ri httpstcoafZZAvMxqQ,0.0
46,Barbarian,,RT Cleopat73718150 Teamreality1111 GenMedDoc FDA employees around 17000 are not taking tha vaccine   what does this tell us,0.0
47,Tony saunders,Sheffield ,Jennycurrie10 LornaBreetzke scotgovhealth HumzaYousaf MareeToddMSP jasonleitch DrGregorSmith NHSScotland It httpstcoUTgPRmsBY8,0.0
48,Ali Yilmaz Gürgöz, Northern Germany,MaurielloR Why your supreme leader bans the usage of vaccine which is devolobed by a Muslim couple in Germany ,0.5574
49,Jean Christopher Mittelstaedt,"Oxford, UK",RT UniofOxford A year ago today the UK became the first country to administer the OxfordAstraZeneca vaccineSince then over 2bn dos,0.0
0,Brian Fitzpatrick☘️🇮🇪,"Carlow, Ireland🇮🇪",RT MichealMartinTD Our booster vaccine rollout will be open to all groups aged 16 and above from this SundayYou can book a Vaccine Cen,0.0
1,Jeff Bowen,"Castor, Alberta",RT StockwellDay Please take a moment to look at this independent polling  which shows a majority of Canadians support vaccines but not t,0.3612
2,RonnyB,Queensland Australia,RT SwannyQLD Liberals are always trying new ways to destroy MedicareUnder Morrisons Medicare if you cant pay youre on your own Str,-0.5994
3,EMaxx,"Florida, But VA. Raised",RT WashTimes Joe Rogan podcast comparing COVID19 vaccine hype to Nazis is entered into Congressional Record httpstco0dz1IrcBxc,0.0
4,Kline School of Law,"Philadelphia, PA",RT RobertIField vaxmandates legal uncertainty puts employers in an incredibly difficult spot My thoughts in interview on MarketWatch,-0.5709
5,Delhi Covid Vaccine Bot,"New Delhi, India",East Delhi has at least 9881 new slots available between 040122 amp 110122CovishieldDose1 184534990Do httpstcoVRbshn5Xc4,0.0
6,♫,,I have a habit of sleeping on my left and i also took the vaccine on my left arm now i cant sleep peacefully,-0.4168
7,Brian,,RT rogergilpin If niexecutive admitted their decision on masks and vaccine passports wasnt based on sound scientific evidence and have,0.1027
8,Hopefully helping 😷🔸🌹#MoreForNHS💙 #FBPE🇪🇺,Cornwall 〓〓 + Portugal 🇵🇹,RT paulastell roseydoe ParisDaguerre fascinatorfun On r4today she just trotted out the vaccine lines shed been given and didnt kno,0.0
9,Lincoln University - College of Agricuture (CAEHS),"Jefferson City, MO",CDC updated its recommendations for use of PfizerBioNTechs COVID19 vaccine 1 People who got a PfizerBioNT httpstcobCyEolKCgR,0.0
10,Nepal News English,"Kathmandu, Nepal",TKP Authorities planned to jab 500000 people a day But they are strugglingPeople are not showing up for jabs httpstco6NgXJO6grI,-0.5719
11,James. AL.🇺🇸,"Alabama, USA🇺🇸🍷",RT RepVernonJones Fear works not the vaccine This shows you how big Pharma made out like a bandit,-0.1779
12,Henry M. Rosenberg,,Natural immunity is not the answer Omicron largely evades immunity from past infection or two vaccine doses It is httpstcoK5U7aK4m3d,0.3612
13,The Stark Naked Brief.,"England, United Kingdom",NEW  Professor Sir Andrew Pollard the head of Britains vaccine body has said 4th jabs should not be offered unt httpstco8yJp0ApjFE,0.0
14,Vagabundo,The Kremlin,So what exactly is the science behind the Australian governments and much of Europes refusal to recognise the S httpstcodEcQZefb8o,0.0
15,dwight thompson 🌵🏎🎸⚖️🐬🌊☮️,,RT chadloder The Deputy District Attorney of Orange County CA Kelly Ernby who vocally protested against vaccine mandates and COVID loc,-0.128
16,Enterprise Hub,United Kingdom,Making Bill Gates smile with SMILE HubMember Kitty Liao CEO and founder of ideabatic exhibited her smart vacci httpstcoJsJo66o4Gt,0.8143
17,AntiAgify - Science will set you free,Freiburg im Breisgau,RT Covid19Crusher The more vaccine shots in the armsthe more new Covid casesThat is what the data per state currently shows in,0.0
18,Bill chappuie,,GOP So many moving parts Biggest is the refusal of vaccine by large number of political opposing persons Repub httpstcoOhnwbmbdOJ,0.0772
19,psm,"Lakes by the Bay, FL",RT UncvrngTheTruth Antivaxxer freedomloving Kelly Ernby an Orange County GOP DA who ran for state Assembly has died from Covid Kel,-0.5574
20,Nigel,Ireland.. tyrone,RT lewisgoodall Talk of 4th round of boosters but really important to remember many countries have barely begun with two doses More tha,0.3898
21,Michele C.,,SandraD31423906 Kristamich1 drmwarner If there was a free vaccine for cancer this would be a good comparison,0.2023
22,"Jane,not a lab rat 🙏",Green Hills Of England,RT Arwenstar Take THAT cultistsSee this people Never back down  NEVER httpstcoBc6Ws8eN0I,0.0
23,Montgomery J. Granger,"Long Island, NY",RT NYVets4Trump Navy SEALs Win Major Legal Victory Against Vaccine Mandate Injunction Issued httpstcotQXbXZLzlT,0.6801
24,Graham 2.0,"London, England",Ivanabreakfree The vaccine,0.0
25,RandeeM,"Detroit, MI",RT mmamuse Israel  on vaccine number 4 with high death rates for covid Palestine  vaccine 0 with very low rate of deaths of covid,-0.7178
26,Cumali Gündüz,,RT valnevaSE DYK that in 2021 COVID19 vaccine outputs were estimated at over 12 billion doses amp are expected to hit 24 billion by mid2,0.0
27,"Paul Lawton - PPC Candidate, Peterborough-Kawartha",,If you have been on board with lockdowns and vaccine coercion up until now but have changed your mind and now are httpstcohpwGGPUYRx,0.0
28,Claire Phillips,,RT TheRealNews The proteinbased vaccine Corbevax has been nicknamed The Worlds Covid19 Vaccine because it is not patented meaning t,0.0
29,Annie Mc Cartney,Ireland,RT realTuckFrumper This Orange County Republican who campaigned against vaccine mandates just died of COVID19 httpstcobP8kt3pHg3,-0.5574
30,DJFedTTV,,ABC7 We are short on tests due to the vaccine mandate Every large company is stocking up for their employees who will need to test weekly,0.0
31,goldensands,,shawnaburley You people act like youre cutting off your hands Its just a fucking vaccine We all were forced t httpstcoMOb75l0vvp,-0.25
32,Negan's Henchman,,fordnation Is my vaccine passports obsolete starting tomorrow,-0.296
33,miss eddie,America,RT WhitlockJason I used to think sports made men more courageous and now I look at it say it makes them cowards Im not a fan of the w,0.408
34,Charles C. Mann,Seized Nipmuc land,Indian media has reported that the price per dose may be as low as 250  which would make new patentfree C httpstconsGP6UE83k,-0.2732
35,🇬🇧dawn 🇺🇸,"England, United Kingdom",RT Pauline51734996 The only UK newspaper  Cheltenham to have a full page showing the vaccine deaths Please share to make viral https,0.5848
36,🇺🇸 American 🇺🇸 Ben,E. Oregon (Texan first) ,RT RepThomasMassie Everyone knows the vaccine is not 100 safe and it is not 100 effectiveAfter we admit those facts we can have a r,-0.4871
37,Adithya Ramachandran,,NidalAllis Nope The premise is silly because its impossible to eradicate a virus with animal reservoirs The hu httpstco0iLH1tNTC3,0.0258
38,"Tuella Sykes, Esq., LL.M.",,Read This California Deputy DA Who Fought Vaccine Mandate Dies Abruptly After Falling Ill With COVID at Age 46 httpstconmo9jWYeXj,-0.6908
39,JustBeA🙃DecentHumanBeing,"Texas, USA",RT DrTomFrieden Its rare for ANY vaccine to completely protect against infection or to eliminate transmission But Covid vaccines and bo,0.2374
40,Linda Berrier,,RT RepTenney The Supreme Court should strike down Bidens authoritarian vaccine mandate Its the last best hope to preserve health freed,0.8807
